Location,What,Value,Unit
GPU[1].SA[0].CU[0],CPIStack.ScalarMem,0.00506815798671789,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMemInst,8.73820342537517e-05,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Special,0.000101945706630101,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VALU,1.2994145403705,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMem,0.382820692065711,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMemInst,0.000305837119888229,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.total,2.32650297098916,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Branch,0.0061852107809265,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Fetch,0.0100725639253627,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Idle,1.72771250864235e-05,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.LDS,0.298997926744992,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarInst,0.0672252937111282,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMem,0.00601243953006215,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMemInst,0.000103662750518307,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Special,0.00012093987560555,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VALU,1.54151693158258,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMem,0.454146510020732,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMemInst,0.000362819626814191,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.total,2.75996890117484,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Branch,0.00332051730164325,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Fetch,0.00851974833974118,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Idle,1.45636723756582e-05,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.LDS,0.250291273447513,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarInst,0.0552254456483737,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMem,0.00508272165909355,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMemInst,8.73820342537517e-05,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Special,0.000116509379005364,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VALU,1.29124432016777,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMem,0.396117324944661,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMemInst,0.000189327740883161,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.total,2.32650297098916,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Branch,0.00393918451969648,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Fetch,0.0101071181755354,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Idle,1.72771250864235e-05,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.LDS,0.296924671734624,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarInst,0.0655148583275731,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMem,0.00602971665514858,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMemInst,0.000103662750518307,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Special,0.000138217000691505,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VALU,1.53182446440912,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMem,0.469920525224606,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMemInst,0.000224602626123037,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.total,2.75996890117484,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Branch,0.000786438308283962,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Fetch,0.00841780263311147,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Idle,1.45636723756582e-05,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.LDS,0.261956775020387,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarInst,0.0577012699522275,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMem,0.00506815798671799,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMemInst,8.73820342537517e-05,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Special,2.91273447515137e-05,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VALU,1.26721426074799,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMem,0.40874402889433,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMemInst,0.000218455085634478,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.total,2.32650297098916,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Branch,0.000932964754664996,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Fetch,0.00998617829993031,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Idle,1.72771250864235e-05,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.LDS,0.310763648928816,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarInst,0.0684519695922555,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMem,0.00601243953006227,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMemInst,0.000103662750518307,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Special,3.45542501730812e-05,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VALU,1.50331720801659,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMem,0.484899792674504,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMemInst,0.000259156876295884,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.total,2.75996890117484,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Branch,0.000713619946405869,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Fetch,0.00833042059885782,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Idle,1.45636723756582e-05,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.LDS,0.258912967493883,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarInst,0.0575556332284769,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMem,0.00518466736572286,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMemInst,8.73820342537517e-05,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Special,2.91273447513163e-05,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VALU,1.26535011068391,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMem,0.41385587789817,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMemInst,0.000233018758009939,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.total,2.32650297098916,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Branch,0.000846579129233113,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Fetch,0.00988251554941212,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Idle,1.72771250864235e-05,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.LDS,0.307152729785763,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarInst,0.0682791983413984,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMem,0.00615065653075319,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMemInst,0.000103662750518307,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Special,3.4554250172847e-05,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VALU,1.50110573600553,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMem,0.49096406357982,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMemInst,0.000276434001382074,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.total,2.75996890117484,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Branch,0.00106314808342048,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Fetch,0.00834498427123358,cycles/inst
