Location,What,Value,Unit
GPU[1].SA[0].CU[3],CPIStack.ScalarInst,0.122783083219643,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMem,0.0554797635288767,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.ScalarMemInst,0.00136425648021819,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Special,0.0479763528876728,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VALU,4.17235106866758,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMem,1.72214643019554,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.VMemInst,0.16393815370623,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.total,7.21214188267394,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Branch,0.0310626702997269,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Fetch,0.356948228882835,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Idle,0.0152588555858313,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.LDS,0.706267029972757,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarInst,0.147138964577654,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMem,0.0664850136239781,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.ScalarMemInst,0.00163487738419608,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.Special,0.0574931880108951,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMem,2.06376021798365,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.VMemInst,0.196457765667575,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.total,8.64277929155313,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Branch,0.0259208731241468,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Fetch,0.309004092769442,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Idle,0.0127330604820375,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.LDS,0.589358799454301,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.ScalarInst,0.122783083219641,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.ScalarMem,0.055707139608913,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.ScalarMemInst,0.00136425648021838,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.Special,0.0482037289677095,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.VALU,4.17235106866758,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.VMem,1.71009549795362,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.VMemInst,0.16393815370623,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.total,7.21168713051387,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.Branch,0.0310626702997269,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.Fetch,0.370299727520437,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.Idle,0.0152588555858313,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.LDS,0.706267029972756,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.ScalarInst,0.147138964577652,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.ScalarMem,0.0667574931880107,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.ScalarMemInst,0.00163487738419631,cycles/inst
