Location,What,Value,Unit
GPU[1].SA[12].CU[2],simd_inst_count,0.0,count
GPU[1].SA[12].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[12].CU[3],cu_inst_count,0.0,count
GPU[1].SA[12].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[12].CU[3],simd_inst_count,0.0,count
GPU[1].SA[12].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[0],cu_inst_count,0.0,count
GPU[1].SA[13].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[0],simd_inst_count,0.0,count
GPU[1].SA[13].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[1],cu_inst_count,0.0,count
GPU[1].SA[13].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[1],simd_inst_count,0.0,count
GPU[1].SA[13].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[2],cu_inst_count,0.0,count
GPU[1].SA[13].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[2],simd_inst_count,0.0,count
GPU[1].SA[13].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[3],cu_inst_count,0.0,count
GPU[1].SA[13].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[13].CU[3],simd_inst_count,0.0,count
GPU[1].SA[13].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[0],cu_inst_count,0.0,count
GPU[1].SA[14].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[0],simd_inst_count,0.0,count
GPU[1].SA[14].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[1],cu_inst_count,0.0,count
GPU[1].SA[14].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[1],simd_inst_count,0.0,count
GPU[1].SA[14].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[2],cu_inst_count,0.0,count
GPU[1].SA[14].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[2],simd_inst_count,0.0,count
GPU[1].SA[14].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[3],cu_inst_count,0.0,count
GPU[1].SA[14].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[14].CU[3],simd_inst_count,0.0,count
GPU[1].SA[14].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[0],cu_inst_count,0.0,count
GPU[1].SA[15].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[0],simd_inst_count,0.0,count
GPU[1].SA[15].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[1],cu_inst_count,0.0,count
GPU[1].SA[15].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[1],simd_inst_count,0.0,count
GPU[1].SA[15].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[2],cu_inst_count,0.0,count
GPU[1].SA[15].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[2],simd_inst_count,0.0,count
GPU[1].SA[15].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[3],cu_inst_count,0.0,count
GPU[1].SA[15].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[3],simd_inst_count,0.0,count
GPU[1].SA[15].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Branch,0.0264317180616738,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Fetch,0.500000000000002,cycles/inst
