Component,Port,Connection
GPU[1].L2Cache[4],GPU[1].L2Cache[4].Top,GPU[1].L1ToL2
GPU[1].L2Cache[4],GPU[1].L2Cache[4].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[4],GPU[1].L2Cache[4].Control,GPU[1].InternalConn
GPU[1].L2Cache[5],GPU[1].L2Cache[5].Top,GPU[1].L1ToL2
GPU[1].L2Cache[5],GPU[1].L2Cache[5].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[5],GPU[1].L2Cache[5].Control,GPU[1].InternalConn
GPU[1].L2Cache[6],GPU[1].L2Cache[6].Top,GPU[1].L1ToL2
GPU[1].L2Cache[6],GPU[1].L2Cache[6].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[6],GPU[1].L2Cache[6].Control,GPU[1].InternalConn
GPU[1].L2Cache[7],GPU[1].L2Cache[7].Top,GPU[1].L1ToL2
GPU[1].L2Cache[7],GPU[1].L2Cache[7].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[7],GPU[1].L2Cache[7].Control,GPU[1].InternalConn
GPU[1].L2Cache[8],GPU[1].L2Cache[8].Top,GPU[1].L1ToL2
GPU[1].L2Cache[8],GPU[1].L2Cache[8].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[8],GPU[1].L2Cache[8].Control,GPU[1].InternalConn
GPU[1].L2Cache[9],GPU[1].L2Cache[9].Top,GPU[1].L1ToL2
GPU[1].L2Cache[9],GPU[1].L2Cache[9].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[9],GPU[1].L2Cache[9].Control,GPU[1].InternalConn
GPU[1].L2Cache[10],GPU[1].L2Cache[10].Top,GPU[1].L1ToL2
GPU[1].L2Cache[10],GPU[1].L2Cache[10].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[10],GPU[1].L2Cache[10].Control,GPU[1].InternalConn
GPU[1].L2Cache[11],GPU[1].L2Cache[11].Top,GPU[1].L1ToL2
GPU[1].L2Cache[11],GPU[1].L2Cache[11].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[11],GPU[1].L2Cache[11].Control,GPU[1].InternalConn
GPU[1].L2Cache[12],GPU[1].L2Cache[12].Top,GPU[1].L1ToL2
GPU[1].L2Cache[12],GPU[1].L2Cache[12].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[12],GPU[1].L2Cache[12].Control,GPU[1].InternalConn
GPU[1].L2Cache[13],GPU[1].L2Cache[13].Top,GPU[1].L1ToL2
GPU[1].L2Cache[13],GPU[1].L2Cache[13].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[13],GPU[1].L2Cache[13].Control,GPU[1].InternalConn
GPU[1].L2Cache[14],GPU[1].L2Cache[14].Top,GPU[1].L1ToL2
GPU[1].L2Cache[14],GPU[1].L2Cache[14].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[14],GPU[1].L2Cache[14].Control,GPU[1].InternalConn
GPU[1].L2Cache[15],GPU[1].L2Cache[15].Top,GPU[1].L1ToL2
GPU[1].L2Cache[15],GPU[1].L2Cache[15].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[15],GPU[1].L2Cache[15].Control,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToDriver,InterDeviceConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToDMA,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToCUs,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToTLBs,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToAddressTranslators,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToCaches,GPU[1].InternalConn
GPU[1].CommandProcessor,GPU[1].CommandProcessor.ToRDMA,GPU[1].InternalConn
GPU[1].DMA,GPU[1].DMA.ToCP,GPU[1].InternalConn
GPU[1].DMA,GPU[1].DMA.ToMem,GPU[1].L2ToDRAM
GPU[1].RDMA,GPU[1].RDMA.RDMARequestInside,GPU[1].L1ToL2
GPU[1].RDMA,GPU[1].RDMA.RDMARequestOutside,InterDeviceConn
GPU[1].RDMA,GPU[1].RDMA.RDMADataInside,GPU[1].L1ToL2
GPU[1].RDMA,GPU[1].RDMA.RDMADataOutside,InterDeviceConn
GPU[1].RDMA,GPU[1].RDMA.Ctrl,GPU[1].InternalConn
GPU[1].L2TLB,GPU[1].L2TLB.Top,GPU[1].L1TLBToL2TLB
GPU[1].L2TLB,GPU[1].L2TLB.Bottom,InterDeviceConn
GPU[1].L2TLB,GPU[1].L2TLB.Control,GPU[1].InternalConn
GPU[1].SA[0].L1VCache[0],GPU[1].SA[0].L1VCache[0].Top,GPU[1].SA[0].Conn[3]
GPU[1].SA[0].L1VCache[0],GPU[1].SA[0].L1VCache[0].Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1VCache[0],GPU[1].SA[0].L1VCache[0].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VCache[1],GPU[1].SA[0].L1VCache[1].Top,GPU[1].SA[0].Conn[7]
GPU[1].SA[0].L1VCache[1],GPU[1].SA[0].L1VCache[1].Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1VCache[1],GPU[1].SA[0].L1VCache[1].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VCache[2],GPU[1].SA[0].L1VCache[2].Top,GPU[1].SA[0].Conn[11]
GPU[1].SA[0].L1VCache[2],GPU[1].SA[0].L1VCache[2].Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1VCache[2],GPU[1].SA[0].L1VCache[2].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VCache[3],GPU[1].SA[0].L1VCache[3].Top,GPU[1].SA[0].Conn[15]
GPU[1].SA[0].L1VCache[3],GPU[1].SA[0].L1VCache[3].Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1VCache[3],GPU[1].SA[0].L1VCache[3].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VTLB[0],GPU[1].SA[0].L1VTLB[0].Top,GPU[1].SA[0].Conn[2]
GPU[1].SA[0].L1VTLB[0],GPU[1].SA[0].L1VTLB[0].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[0].L1VTLB[0],GPU[1].SA[0].L1VTLB[0].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VTLB[1],GPU[1].SA[0].L1VTLB[1].Top,GPU[1].SA[0].Conn[6]
GPU[1].SA[0].L1VTLB[1],GPU[1].SA[0].L1VTLB[1].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[0].L1VTLB[1],GPU[1].SA[0].L1VTLB[1].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VTLB[2],GPU[1].SA[0].L1VTLB[2].Top,GPU[1].SA[0].Conn[10]
GPU[1].SA[0].L1VTLB[2],GPU[1].SA[0].L1VTLB[2].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[0].L1VTLB[2],GPU[1].SA[0].L1VTLB[2].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VTLB[3],GPU[1].SA[0].L1VTLB[3].Top,GPU[1].SA[0].Conn[14]
